date,newCasesBySpecimenDate,cumCasesBySpecimenDate
08/09/2021,7180,7132072
07/09/2021,30792,7124892
06/09/2021,42119,7094100
05/09/2021,30828,7051981
04/09/2021,30989,7021153
03/09/2021,37886,6990164
02/09/2021,41549,6952278
01/09/2021,42744,6910729
31/08/2021,44406,6867985
30/08/2021,34087,6823579
29/08/2021,25633,6789492
28/08/2021,27114,6763859
27/08/2021,33073,6736745
26/08/2021,36917,6703672
25/08/2021,37988,6666755
24/08/2021,36930,6628767
23/08/2021,38944,6591837
22/08/2021,28243,6552893
21/08/2021,28019,6524650
20/08/2021,31613,6496631
19/08/2021,35778,6465018
18/08/2021,37944,6429240
17/08/2021,37099,6391296
16/08/2021,36146,6354197
15/08/2021,24887,6318051
14/08/2021,24603,6293164
13/08/2021,28405,6268561
12/08/2021,31072,6240156
11/08/2021,32673,6209084
10/08/2021,30877,6176411
09/08/2021,31493,6145534
08/08/2021,22365,6114041
07/08/2021,22088,6091676
06/08/2021,27501,6069588
05/08/2021,31042,6042087
04/08/2021,31670,6011045
03/08/2021,29781,5979375
02/08/2021,29228,5949594
01/08/2021,20482,5920366
31/07/2021,20135,5899884
30/07/2021,24248,5879749
29/07/2021,27849,5855501
28/07/2021,29582,5827652
27/07/2021,28993,5798070
26/07/2021,29305,5769077
25/07/2021,21738,5739772
24/07/2021,22441,5718034
23/07/2021,27207,5695593
22/07/2021,30649,5668386
21/07/2021,34886,5637737
20/07/2021,39038,5602851
19/07/2021,46841,5563813
18/07/2021,35469,5516972
17/07/2021,37819,5481503
16/07/2021,54204,5443684
15/07/2021,60698,5389480
14/07/2021,53781,5328782
13/07/2021,46714,5275001
12/07/2021,43610,5228287
11/07/2021,30008,5184677
10/07/2021,27863,5154669
09/07/2021,32207,5126806
08/07/2021,33341,5094599
07/07/2021,37806,5061258
06/07/2021,35365,5023452
05/07/2021,34177,4988087
04/07/2021,24667,4953910
03/07/2021,23554,4929243
02/07/2021,25769,4905689
01/07/2021,28103,4879920
30/06/2021,28326,4851817
29/06/2021,27590,4823491
28/06/2021,27744,4795901
27/06/2021,18124,4768157
26/06/2021,15968,4750033
25/06/2021,17768,4734065
24/06/2021,18294,4716297
23/06/2021,17904,4698003
22/06/2021,16998,4680099
21/06/2021,15950,4663101
20/06/2021,9874,4647151
19/06/2021,8253,4637277
18/06/2021,10058,4629024
17/06/2021,10771,4618966
16/06/2021,10773,4608195
15/06/2021,10493,4597422
14/06/2021,10103,4586929
13/06/2021,6953,4576826
12/06/2021,6115,4569873
11/06/2021,7441,4563758
10/06/2021,7837,4556317
09/06/2021,7990,4548480
08/06/2021,7674,4540490
07/06/2021,7742,4532816
06/06/2021,5403,4525074
05/06/2021,4622,4519671
04/06/2021,5705,4515049
03/06/2021,6099,4509344
02/06/2021,6047,4503245
01/06/2021,5234,4497198
31/05/2021,3781,4491964
30/05/2021,3095,4488183
29/05/2021,2932,4485088
28/05/2021,3491,4482156
27/05/2021,3637,4478665
26/05/2021,3799,4475028
25/05/2021,3304,4471229
24/05/2021,3236,4467925
23/05/2021,2241,4464689
22/05/2021,1926,4462448
21/05/2021,2292,4460522
20/05/2021,2425,4458230
19/05/2021,2711,4455805
18/05/2021,2707,4453094
17/05/2021,2765,4450387
16/05/2021,1853,4447622
15/05/2021,1580,4445769
14/05/2021,1850,4444189
13/05/2021,2092,4442339
12/05/2021,2229,4440247
11/05/2021,2197,4438018
10/05/2021,2653,4435821
09/05/2021,2169,4433168
08/05/2021,1511,4430999
07/05/2021,1881,4429488
06/05/2021,2162,4427607
05/05/2021,2394,4425445
04/05/2021,2397,4423051
03/05/2021,1973,4420654
02/05/2021,1426,4418681
01/05/2021,1354,4417255
30/04/2021,1701,4415901
29/04/2021,2083,4414200
28/04/2021,2361,4412117
27/04/2021,2056,4409756
26/04/2021,2444,4407700
25/04/2021,1993,4405256
24/04/2021,1466,4403263
23/04/2021,1888,4401797
22/04/2021,2249,4399909
21/04/2021,2540,4397660
20/04/2021,2366,4395120
19/04/2021,2601,4392754
18/04/2021,2439,4390153
17/04/2021,1637,4387714
16/04/2021,2348,4386077
15/04/2021,2188,4383729
14/04/2021,2394,4381541
13/04/2021,2333,4379147
12/04/2021,2713,4376814
11/04/2021,2255,4374101
10/04/2021,2259,4371846
09/04/2021,2781,4369587
08/04/2021,2983,4366806
07/04/2021,3083,4363823
06/04/2021,3115,4360740
05/04/2021,2616,4357625
04/04/2021,2293,4355009
03/04/2021,2405,4352716
02/04/2021,2625,4350311
01/04/2021,3470,4347686
31/03/2021,3765,4344216
30/03/2021,3593,4340451
29/03/2021,3973,4336858
28/03/2021,4652,4332885
27/03/2021,3533,4328233
26/03/2021,4384,4324700
25/03/2021,5401,4320316
24/03/2021,6005,4314915
23/03/2021,5250,4308910
22/03/2021,6201,4303660
21/03/2021,5231,4297459
20/03/2021,4100,4292228
19/03/2021,4994,4288128
18/03/2021,5470,4283134
17/03/2021,5771,4277664
16/03/2021,5671,4271893
15/03/2021,6503,4266222
14/03/2021,4298,4259719
13/03/2021,4241,4255421
12/03/2021,5584,4251180
11/03/2021,5768,4245596
10/03/2021,6034,4239828
09/03/2021,6218,4233794
08/03/2021,6638,4227576
07/03/2021,4283,4220938
06/03/2021,4497,4216655
05/03/2021,5298,4212158
04/03/2021,5719,4206860
03/03/2021,5968,4201141
02/03/2021,6650,4195173
01/03/2021,6876,4188523
28/02/2021,4711,4181647
27/02/2021,4817,4176936
26/02/2021,6563,4172119
25/02/2021,7711,4165556
24/02/2021,8533,4157845
23/02/2021,9377,4149312
22/02/2021,11240,4139935
21/02/2021,7866,4128695
20/02/2021,8050,4120829
19/02/2021,10380,4112779
18/02/2021,11408,4102399
17/02/2021,11554,4090991
16/02/2021,12479,4079437
15/02/2021,14264,4066958
14/02/2021,8753,4052694
13/02/2021,8756,4043941
12/02/2021,12149,4035185
11/02/2021,12733,4023036
10/02/2021,13477,4010303
09/02/2021,13792,3996826
08/02/2021,15693,3983034
07/02/2021,11371,3967341
06/02/2021,11953,3955970
05/02/2021,15835,3944017
04/02/2021,17950,3928182
03/02/2021,19394,3910232
02/02/2021,19748,3890838
01/02/2021,22329,3871090
31/01/2021,15365,3848761
30/01/2021,16662,3833396
29/01/2021,21762,3816734
28/01/2021,24126,3794972
27/01/2021,25664,3770846
26/01/2021,26969,3745182
25/01/2021,29896,3718213
24/01/2021,17149,3688317
23/01/2021,21820,3671168
22/01/2021,29516,3649348
21/01/2021,31649,3619832
20/01/2021,35069,3588183
19/01/2021,39453,3553114
18/01/2021,44756,3513661
17/01/2021,28838,3468905
16/01/2021,30524,3440067
15/01/2021,40379,3409543
14/01/2021,42361,3369164
13/01/2021,45384,3326803
12/01/2021,49357,3281419
11/01/2021,57078,3232062
10/01/2021,36335,3174984
09/01/2021,39079,3138649
08/01/2021,46980,3099570
07/01/2021,51937,3052590
06/01/2021,57370,3000653
05/01/2021,65076,2943283
04/01/2021,76140,2878207
03/01/2021,55165,2802067
02/01/2021,60411,2746902
01/01/2021,31831,2686491
31/12/2020,52783,2654660
30/12/2020,70760,2601877
29/12/2020,81490,2531117
28/12/2020,45576,2449627
27/12/2020,47695,2404051
26/12/2020,40364,2356356
25/12/2020,14172,2315992
24/12/2020,31808,2301820
23/12/2020,42162,2270012
22/12/2020,45656,2227850
21/12/2020,47357,2182194
20/12/2020,32433,2134837
19/12/2020,25136,2102404
18/12/2020,35816,2077268
17/12/2020,33877,2041452
16/12/2020,34905,2007575
15/12/2020,33836,1972670
14/12/2020,34692,1938834
13/12/2020,21984,1904142
12/12/2020,19352,1882158
11/12/2020,24054,1862806
10/12/2020,22602,1838752
09/12/2020,21602,1816150
08/12/2020,20781,1794548
07/12/2020,21318,1773767
06/12/2020,13577,1752449
05/12/2020,12728,1738872
04/12/2020,15656,1726144
03/12/2020,15631,1710488
02/12/2020,16462,1694857
01/12/2020,16449,1678395
30/11/2020,18010,1661946
29/11/2020,10680,1643936
28/11/2020,10962,1633256
27/11/2020,14363,1622294
26/11/2020,14569,1607931
25/11/2020,16608,1593362
24/11/2020,16448,1576754
23/11/2020,18765,1560306
22/11/2020,11732,1541541
21/11/2020,12350,1529809
20/11/2020,16846,1517459
19/11/2020,17749,1500613
18/11/2020,20746,1482864
17/11/2020,23159,1462118
16/11/2020,26573,1438959
15/11/2020,16026,1412386
14/11/2020,17986,1396360
13/11/2020,24033,1378374
12/11/2020,24459,1354341
11/11/2020,27346,1329882
10/11/2020,27411,1302536
09/11/2020,31044,1275125
08/11/2020,19950,1244081
07/11/2020,18514,1224131
06/11/2020,23317,1205617
05/11/2020,23734,1182300
04/11/2020,23670,1158566
03/11/2020,25570,1134896
02/11/2020,31505,1109326
01/11/2020,15749,1077821
31/10/2020,16478,1062072
30/10/2020,22653,1045594
29/10/2020,23338,1022941
28/10/2020,23607,999603
27/10/2020,24077,975996
26/10/2020,26541,951919
25/10/2020,15718,925378
24/10/2020,16224,909660
23/10/2020,21453,893436
22/10/2020,23229,871983
21/10/2020,25432,848754
20/10/2020,25311,823322
19/10/2020,25596,798011
18/10/2020,14189,772415
17/10/2020,14748,758226
16/10/2020,17706,743478
15/10/2020,18420,725772
14/10/2020,19689,707352
13/10/2020,18880,687663
12/10/2020,19423,668783
11/10/2020,12058,649360
10/10/2020,12500,637302
09/10/2020,15716,624802
08/10/2020,18228,609086
07/10/2020,18309,590858
06/10/2020,17048,572549
05/10/2020,16542,555501
04/10/2020,11795,538959
03/10/2020,11527,527164
02/10/2020,13684,515637
01/10/2020,13184,501953
30/09/2020,12554,488769
29/09/2020,10226,476215
28/09/2020,9920,465989
27/09/2020,6969,456069
26/09/2020,6746,449100
25/09/2020,7234,442354
24/09/2020,7595,435120
23/09/2020,7053,427525
22/09/2020,6397,420472
21/09/2020,5601,414075
20/09/2020,5314,408474
19/09/2020,4847,403160
18/09/2020,4955,398313
17/09/2020,4618,393358
16/09/2020,4346,388740
15/09/2020,3537,384394
14/09/2020,3379,380857
13/09/2020,2129,377478
12/09/2020,2656,375349
11/09/2020,3283,372693
10/09/2020,3576,369410
09/09/2020,3328,365834
08/09/2020,3301,362506
07/09/2020,3860,359205
06/09/2020,2441,355345
05/09/2020,2541,352904
04/09/2020,3038,350363
03/09/2020,3093,347325
02/09/2020,2991,344232
01/09/2020,2248,341241
