date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
08/09/2021,35,133839
07/09/2021,88,133804
06/09/2021,109,133716
05/09/2021,131,133607
04/09/2021,105,133476
03/09/2021,129,133371
02/09/2021,120,133242
01/09/2021,108,133122
31/08/2021,107,133014
30/08/2021,100,132907
29/08/2021,121,132807
28/08/2021,119,132686
27/08/2021,123,132567
26/08/2021,112,132444
25/08/2021,98,132332
24/08/2021,112,132234
23/08/2021,113,132122
22/08/2021,113,132009
21/08/2021,103,131896
20/08/2021,116,131793
19/08/2021,107,131677
18/08/2021,97,131570
17/08/2021,105,131473
16/08/2021,76,131368
15/08/2021,82,131292
14/08/2021,93,131210
13/08/2021,103,131117
12/08/2021,105,131014
11/08/2021,86,130909
10/08/2021,80,130823
09/08/2021,79,130743
08/08/2021,79,130664
07/08/2021,95,130585
06/08/2021,93,130490
05/08/2021,97,130397
04/08/2021,79,130300
03/08/2021,74,130221
02/08/2021,78,130147
01/08/2021,93,130069
31/07/2021,88,129976
30/07/2021,103,129888
29/07/2021,77,129785
28/07/2021,85,129708
27/07/2021,73,129623
26/07/2021,74,129550
25/07/2021,71,129476
24/07/2021,71,129405
23/07/2021,81,129334
22/07/2021,76,129253
21/07/2021,53,129177
20/07/2021,57,129124
19/07/2021,82,129067
18/07/2021,66,128985
17/07/2021,52,128919
16/07/2021,50,128867
15/07/2021,52,128817
14/07/2021,42,128765
13/07/2021,49,128723
12/07/2021,39,128674
11/07/2021,33,128635
10/07/2021,42,128602
09/07/2021,47,128560
08/07/2021,38,128513
07/07/2021,28,128475
06/07/2021,32,128447
05/07/2021,28,128415
04/07/2021,28,128387
03/07/2021,28,128359
02/07/2021,27,128331
01/07/2021,21,128304
30/06/2021,21,128283
29/06/2021,23,128262
28/06/2021,12,128239
27/06/2021,20,128227
26/06/2021,17,128207
25/06/2021,20,128190
24/06/2021,21,128170
23/06/2021,7,128149
22/06/2021,13,128142
21/06/2021,16,128129
20/06/2021,23,128113
19/06/2021,22,128090
